Candidato,21 e 22/09/20,05 e 06/10/20,20 e 21/10/20,03 e 04/11/20,09 e 10/11/20,13 e 14/11/20
Bruno Covas (PSDB),20,21,23,28,32,33
Guilherme Boulos (PSOL),9,12,14,14,16,15
Marcio França (PSB),8,8,10,13,12,12
Celso Russomanno (REPUBLICANOS),29,27,20,16,14,11
Jilmar Tatto (PT),2,1,4,6,4,5
Arthur do Val Mamãe Falei (PATRIOTA),2,3,4,4,4,5
Joice Hasselmann (PSL),1,1,3,3,3,2
Andrea Matarazzo (PSD),2,2,2,3,2,2
Marina Helou (REDE),1,1,1,1,1,1
Vera (PSTU),2,1,1,0,1,1
Levy Fidelix (PRTB),1,2,1,1,0,0
Orlando Silva (PC DO B),1,1,1,1,0,0
Antônio Carlos (PCO),0,1,0,0,0,0
Sabará (NOVO),1,1,0,0,0,0
Branco/nulo,17,12,13,9,7,8
Não sabe,4,4,3,3,3,4